ano,sigla_uf,sexo,total_trabalhadores,salario_medio
2000,MG,Feminino,1069201,544.30520170668979
2000,MG,Masculino,1734253,616.74710058451922
2000,MS,Feminino,108737,529.85029070141309
2000,MS,Masculino,190892,576.86195372252337
2000,MT,Feminino,109695,564.50199024568587
2000,MT,Masculino,205852,582.53018843635311
2000,PA,Feminino,168899,543.86516847345922
2000,PA,Masculino,289737,603.41981966404285
2000,PB,Feminino,153810,406.85716383850411
2000,PB,Masculino,185325,520.40305587481851
2000,PE,Feminino,348158,526.46176284904675
2000,PE,Masculino,534874,594.30694410273259
2000,PI,Feminino,95516,404.66853061267068
2000,PI,Masculino,110213,519.80357190168013
2000,PR,Feminino,643830,555.42189539164451
2000,PR,Masculino,1009605,691.78829242128575
2000,RJ,Feminino,1050883,721.71286694142952
2000,RJ,Masculino,1667255,854.83405924108752
2000,RN,Feminino,144741,399.824463420866
2000,RN,Masculino,170747,518.1409997833083
2000,RO,Feminino,58087,672.49929157987606
2000,RO,Masculino,89817,731.781121057257
