ano,sigla_uf,sexo,faixa_etaria,media_aposentadoria_pensao,media_pensao_alimenticia,media_programas_sociais,media_outros_rendimentos,total_respondentes
2019,SP,Feminino,Outras idades / Não mapeado,1.98,2.0,2.0,1.93,218
2019,SP,Masculino,Outras idades / Não mapeado,1.98,2.0,2.0,1.9,50
2019,SP,Masculino,0 a 14 anos,2.0,2.0,2.0,2.0,248
2019,SP,Masculino,Outras idades / Não mapeado,2.0,2.0,1.97,1.98,266
2019,SP,Masculino,Outras idades / Não mapeado,2.0,2.0,1.99,1.96,277
2019,SP,Feminino,45 a 59 anos,2.0,1.99,2.0,2.0,318
2019,SC,Masculino,Outras idades / Não mapeado,1.99,2.0,1.98,1.94,251
2019,SC,Feminino,15 a 29 anos,2.0,2.0,2.0,2.0,217
2019,SC,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,1.93,250
2019,SC,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.98,294
2019,SC,Masculino,Outras idades / Não mapeado,2.0,2.0,1.99,1.99,278
2019,SC,Masculino,45 a 59 anos,1.99,2.0,2.0,2.0,313
2019,SC,Feminino,Outras idades / Não mapeado,1.99,1.99,1.99,1.97,259
2019,SC,Masculino,Outras idades / Não mapeado,1.99,2.0,2.0,1.89,111
2019,RS,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.91,22
2019,RS,Masculino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,20
2019,RS,Masculino,30 a 44 anos,1.92,2.0,2.0,2.0,13
2019,RS,Feminino,Outras idades / Não mapeado,1.9,2.0,2.0,1.95,21
2019,RS,Masculino,15 a 29 anos,2.0,2.0,2.0,2.0,11
2019,RS,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.91,11
2016,SC,Masculino,Outras idades / Não mapeado,1.97,2.0,1.97,1.94,32
2016,SC,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,2.0,24
2016,SC,Masculino,15 a 29 anos,2.0,2.0,2.0,2.0,12
2016,SC,Masculino,30 a 44 anos,2.0,2.0,2.0,2.0,24
2016,SC,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.94,33
2016,SC,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.92,13
2016,RR,Masculino,30 a 44 anos,2.0,2.0,2.0,2.0,203
2016,RR,Feminino,Outras idades / Não mapeado,1.98,1.92,1.98,1.99,198
2016,RR,Feminino,Outras idades / Não mapeado,1.95,1.81,1.99,1.93,80
2016,RR,Masculino,Outras idades / Não mapeado,1.99,2.0,1.98,1.99,200
2016,RR,Feminino,Outras idades / Não mapeado,1.97,1.85,2.0,1.95,117
2016,RR,Masculino,15 a 29 anos,1.99,2.0,2.0,2.0,232
2016,TO,Masculino,30 a 44 anos,1.99,2.0,2.0,2.0,184
2016,TO,Masculino,15 a 29 anos,2.0,2.0,2.0,2.0,227
2016,TO,Feminino,Outras idades / Não mapeado,1.99,2.0,2.0,1.94,136
2016,TO,Masculino,Outras idades / Não mapeado,1.99,2.0,1.99,1.99,212
2016,TO,Feminino,Outras idades / Não mapeado,1.95,2.0,2.0,1.95,81
2016,TO,Feminino,Outras idades / Não mapeado,1.99,2.0,2.0,1.99,213
2016,SE,Feminino,30 a 44 anos,1.99,2.0,2.0,2.0,276
