ano,sigla_uf,sexo,total_trabalhadores,salario_medio
1997,CE,Feminino,287849,0.0
1997,CE,Masculino,338606,0.0
1997,DF,Feminino,195218,0.0
1997,DF,Masculino,469413,0.0
1997,ES,Feminino,150497,0.0
1997,ES,Masculino,265410,0.0
1997,GO,Feminino,214656,0.0
1997,GO,Masculino,338433,0.0
1997,MA,Feminino,116561,0.0
1997,MA,Masculino,148403,0.0
1997,MG,Feminino,907969,0.0
1997,MG,Masculino,1629358,0.0
1997,MS,Feminino,94946,0.0
1997,MS,Masculino,171257,0.0
1997,MT,Feminino,89320,0.0
1997,MT,Masculino,171199,0.0
1997,PA,Feminino,155485,0.0
1997,PA,Masculino,240484,0.0
1997,PB,Feminino,136120,0.0
1997,PB,Masculino,169131,0.0
1997,PE,Feminino,306404,0.0
1997,PE,Masculino,511515,0.0
1997,PI,Feminino,82951,0.0
1997,PI,Masculino,99641,0.0
1997,PR,Feminino,572841,0.0
1997,PR,Masculino,955288,0.0
1997,RJ,Feminino,993209,0.0
1997,RJ,Masculino,1662185,0.0
1997,RN,Feminino,123352,0.0
1997,RN,Masculino,148974,0.0
1997,RO,Feminino,54984,0.0
1997,RO,Masculino,75352,0.0
1997,RR,Feminino,9439,0.0
1997,RR,Masculino,12350,0.0
1997,RS,Feminino,718694,0.0
1997,RS,Masculino,1039973,0.0
1997,SC,Feminino,344588,0.0
1997,SC,Masculino,594120,0.0
1997,SE,Feminino,79200,0.0
1997,SE,Masculino,108081,0.0
1997,SP,Feminino,2814485,0.0
1997,SP,Masculino,4823176,0.0
1997,TO,Feminino,34869,0.0
1997,TO,Masculino,42264,0.0
1998,AC,Feminino,30143,0.0
1998,AC,Masculino,30033,0.0
1998,AL,Feminino,93703,0.0
1998,AL,Masculino,159539,0.0
1998,AM,Feminino,96494,0.0
1998,AM,Masculino,140533,0.0
1998,AP,Feminino,18352,0.0
1998,AP,Masculino,25516,0.0
1998,BA,Feminino,437083,0.0
1998,BA,Masculino,625251,0.0
1998,CE,Feminino,294567,0.0
1998,CE,Masculino,350925,0.0
1998,DF,Feminino,219520,0.0
1998,DF,Masculino,499963,0.0
1998,ES,Feminino,160401,0.0
1998,ES,Masculino,271570,0.0
1998,GO,Feminino,226598,0.0
1998,GO,Masculino,354022,0.0
1998,MA,Feminino,121244,0.0
1998,MA,Masculino,152190,0.0
1998,MG,Feminino,992370,0.0
1998,MG,Masculino,1647003,0.0
1998,MS,Feminino,97887,0.0
1998,MS,Masculino,177538,0.0
1998,MT,Feminino,95193,0.0
1998,MT,Masculino,181815,0.0
1998,PA,Feminino,158853,0.0
1998,PA,Masculino,259589,0.0
1998,PB,Feminino,145541,0.0
1998,PB,Masculino,181147,0.0
1998,PE,Feminino,313227,0.0
1998,PE,Masculino,509501,0.0
1998,PI,Feminino,91553,0.0
1998,PI,Masculino,105028,0.0
1998,PR,Feminino,589929,0.0
1998,PR,Masculino,970107,0.0
1998,RJ,Feminino,1014985,0.0
1998,RJ,Masculino,1671391,0.0
1998,RN,Feminino,128558,0.0
1998,RN,Masculino,157767,0.0
1998,RO,Feminino,54161,0.0
1998,RO,Masculino,78821,0.0
1998,RR,Feminino,10718,0.0
